ts_code,close_20210705,close_20210730,rate
300970.SZ,58.43,20.56,-0.6481259626903988
603355.SH,59.8,29.81,-0.501505016722408
300644.SZ,34.91,18.3,-0.47579490117444856
002847.SZ,98.0,54.12,-0.44775510204081637
605288.SH,103.9,57.43,-0.4472569778633302
603330.SH,27.58,15.33,-0.4441624365482233
600260.SH,8.21,4.58,-0.44214372716199757
300607.SZ,34.0,19.01,-0.4408823529411764
603378.SH,54.12,30.42,-0.43791574279379153
300689.SZ,43.83,25.01,-0.4293862651152178
300663.SZ,40.33,23.08,-0.4277212992809323
603313.SH,29.62,16.97,-0.4270762997974342
603518.SH,25.14,14.6,-0.41925218774860784
601919.SH,30.4,17.66,-0.419078947368421
300996.SZ,54.4,31.65,-0.4181985294117647
300859.SZ,28.43,17.1,-0.3985226873021456
002075.SZ,11.76,7.11,-0.39540816326530603
600365.SH,5.97,3.62,-0.39363484087102174
600593.SH,20.99,12.83,-0.38875655073844684
002603.SZ,30.38,18.8,-0.38117182356813684
603458.SH,16.46,10.34,-0.37181044957472664
002956.SZ,28.81,18.26,-0.3661922943422422
300010.SZ,5.72,3.68,-0.35664335664335656
300526.SZ,41.94,27.12,-0.3533619456366237
600570.SH,85.9,55.71,-0.3514551804423749
002909.SZ,9.38,6.13,-0.3464818763326226
601007.SH,8.1,5.32,-0.3432098765432098
688696.SH,828.27,548.97,-0.3372088811619399
600857.SH,14.67,9.74,-0.33605998636673484
301017.SZ,29.55,19.68,-0.334010152284264
600882.SH,67.13,44.93,-0.3307016237151794
603666.SH,90.9,60.89,-0.3301430143014302
002942.SZ,23.05,15.47,-0.32885032537960956
600779.SH,152.2,102.24,-0.32825229960578184
688016.SH,454.01,305.48,-0.32715138433074153
603229.SH,41.2,27.75,-0.32645631067961167
300705.SZ,40.38,27.3,-0.323922734026746
300350.SZ,13.79,9.33,-0.3234227701232777
002607.SZ,19.14,13.04,-0.31870428422152564
688580.SH,173.88,118.9,-0.3161950770646422
688700.SH,65.0,44.55,-0.31461538461538463
002530.SZ,10.29,7.06,-0.31389698736637506
002624.SZ,23.18,15.91,-0.31363244176013805
000526.SZ,25.51,17.53,-0.31281850254802035
600753.SH,45.66,31.41,-0.312089356110381
002614.SZ,23.1,15.9,-0.3116883116883117
000718.SZ,8.33,5.74,-0.31092436974789917
603087.SH,105.0,72.5,-0.30952380952380953
001205.SZ,32.23,22.35,-0.30654669562519377
300839.SZ,20.18,14.14,-0.2993062438057482
300479.SZ,25.15,17.73,-0.2950298210735586
000516.SZ,18.5,13.05,-0.2945945945945946
600223.SH,15.86,11.2,-0.29382093316519553
003016.SZ,18.11,12.81,-0.2926559911651021
002928.SZ,14.49,10.27,-0.29123533471359564
603520.SH,59.1,41.95,-0.2901861252115059
002714.SZ,59.3,42.27,-0.28718381112984814
300600.SZ,13.83,9.86,-0.2870571221981201
603630.SH,25.4,18.17,-0.2846456692913385
688050.SH,383.01,274.1,-0.28435288895851274
601567.SH,19.96,14.31,-0.28306613226452904
300587.SZ,21.85,15.68,-0.28237986270022886
300771.SZ,23.53,16.93,-0.28049298767530817
688179.SH,148.29,106.93,-0.2789129408591273
603180.SH,46.66,33.81,-0.2753964852121731
605089.SH,93.09,67.76,-0.2721022666236975
603557.SH,6.11,4.45,-0.2716857610474632
600754.SH,55.49,40.5,-0.2701387637412147
002638.SZ,2.52,1.84,-0.26984126984126977
300235.SZ,15.03,11.0,-0.26813040585495673
002735.SZ,23.82,17.48,-0.26616288832913515
002401.SZ,12.04,8.84,-0.26578073089700993
603317.SH,33.75,24.8,-0.2651851851851852
600661.SH,11.91,8.76,-0.2644836272040303
002612.SZ,51.94,38.22,-0.26415094339622636
600600.SH,109.09,80.28,-0.2640938674488954
603536.SH,12.61,9.28,-0.26407613005551156
002959.SZ,70.5,51.89,-0.2639716312056738
605378.SH,46.6,34.32,-0.263519313304721
002650.SZ,8.02,5.92,-0.26184538653366585
300065.SZ,10.94,8.08,-0.26142595978062155
688076.SH,70.5,52.11,-0.2608510638297873
002803.SZ,27.55,20.38,-0.2602540834845736
002900.SZ,32.1,23.75,-0.2601246105919004
000656.SZ,5.81,4.3,-0.2598967297762478
300209.SZ,7.69,5.73,-0.25487646293888166
600382.SH,4.64,3.46,-0.2543103448275862
600291.SH,3.86,2.88,-0.2538860103626943
688256.SH,134.2,100.14,-0.2538002980625931
688277.SH,33.35,24.9,-0.25337331334332847
002111.SZ,17.77,13.28,-0.25267304445694994
000799.SZ,256.6,191.87,-0.2522603273577553
688363.SH,305.9,229.01,-0.2513566525008172
603629.SH,26.83,20.09,-0.2512113306000745
300119.SZ,33.55,25.13,-0.2509687034277198
603707.SH,39.38,29.51,-0.2506348400203149
300911.SZ,64.05,48.03,-0.25011709601873533
300957.SZ,274.99,206.45,-0.24924542710644026
688161.SH,91.99,69.07,-0.2491575171214263
002772.SZ,14.7,11.04,-0.24897959183673468
603657.SH,35.02,26.36,-0.24728726442033133
603983.SH,51.04,38.43,-0.24706112852664575
688686.SH,441.5,332.55,-0.2467723669309173
300866.SZ,149.04,112.37,-0.2460413311862587
603656.SH,16.54,12.48,-0.24546553808948002
603345.SH,213.92,161.65,-0.244343679880329
002256.SZ,2.99,2.26,-0.24414715719063562
002862.SZ,15.15,11.46,-0.24356435643564356
688356.SH,292.62,221.45,-0.24321645820518079
603486.SH,225.85,171.0,-0.24286030551250826
605499.SH,258.22,195.52,-0.24281620323754938
688626.SH,88.55,67.07,-0.24257481648786006
600629.SH,7.22,5.48,-0.24099722991689743
000615.SZ,21.3,16.17,-0.2408450704225351
688656.SH,81.27,61.71,-0.24067921742340337
002511.SZ,25.75,19.6,-0.23883495145631062
301022.SZ,47.1,35.97,-0.2363057324840765
300192.SZ,10.15,7.76,-0.2354679802955666
300588.SZ,19.61,15.0,-0.2350841407445181
603208.SH,91.98,70.36,-0.23505109806479674
002022.SZ,18.08,13.84,-0.2345132743362831
603157.SH,3.05,2.34,-0.23278688524590163
000568.SZ,223.0,171.1,-0.23273542600896868
605337.SH,60.46,46.39,-0.23271584518690047
300653.SZ,78.08,59.94,-0.23232581967213117
605196.SH,12.54,9.63,-0.23205741626794252
000860.SZ,40.65,31.22,-0.231980319803198
300453.SZ,15.83,12.16,-0.23183828174352494
600798.SH,5.78,4.44,-0.23183391003460208
688613.SH,90.78,69.75,-0.23165895571711836
002869.SZ,21.5,16.52,-0.23162790697674418
002600.SZ,8.98,6.9,-0.23162583518930957
600428.SH,6.93,5.33,-0.2308802308802308
002987.SZ,31.92,24.56,-0.230576441102757
002211.SZ,5.01,3.86,-0.2295409181636726
600084.SH,4.23,3.26,-0.22931442080378261
300492.SZ,52.91,40.85,-0.2279342279342279
002154.SZ,7.01,5.42,-0.2268188302425107
002647.SZ,10.92,8.45,-0.22619047619047628
300573.SZ,126.48,97.89,-0.22604364326375714
601866.SH,4.25,3.29,-0.22588235294117642
300702.SZ,35.39,27.41,-0.22548742582650472
300987.SZ,35.3,27.41,-0.22351274787535402
300591.SZ,9.4,7.3,-0.22340425531914898
601155.SH,40.78,31.67,-0.22339382050024514
300359.SZ,6.9,5.36,-0.22318840579710142
000961.SZ,5.87,4.56,-0.22316865417376497
301015.SZ,36.01,27.99,-0.22271591224659815
600522.SH,9.77,7.6,-0.2221084953940634
603363.SH,10.3,8.02,-0.22135922330097102
601717.SH,12.11,9.43,-0.22130470685383974
600258.SH,23.88,18.6,-0.2211055276381909
000752.SZ,7.02,5.47,-0.22079772079772075
300572.SZ,31.16,24.3,-0.22015404364569957
603589.SH,70.44,54.95,-0.21990346394094262
002242.SZ,32.19,25.15,-0.2187014600807704
600619.SH,11.67,9.12,-0.21850899742930596
605098.SH,59.52,46.56,-0.217741935483871
600288.SH,13.88,10.86,-0.21757925072046114
002975.SZ,87.5,68.47,-0.21748571428571428
000913.SZ,18.04,14.12,-0.21729490022172948
601665.SH,8.39,6.57,-0.21692491060786656
000918.SZ,4.75,3.72,-0.21684210526315784
600827.SH,19.45,15.24,-0.21645244215938297
688007.SH,40.82,32.0,-0.21607055365017147
300709.SZ,40.28,31.58,-0.21598808341608744
600132.SH,197.0,154.51,-0.21568527918781732
002417.SZ,6.27,4.92,-0.215311004784689
300785.SZ,94.8,74.44,-0.21476793248945147
000858.SZ,281.1,220.75,-0.2146922803272857
603538.SH,44.0,34.56,-0.21454545454545448
600763.SH,401.6,315.46,-0.2144920318725101
605199.SH,27.58,21.68,-0.21392313270485852
003039.SZ,39.51,31.06,-0.2138699063528221
300892.SZ,46.96,36.94,-0.21337308347529815
300955.SZ,50.19,39.49,-0.2131898784618449
300910.SZ,101.33,79.74,-0.2130662192835291
603529.SH,54.99,43.3,-0.21258410620112755
300782.SZ,511.81,403.15,-0.21230534768761855
605099.SH,44.56,35.1,-0.2122980251346499
600439.SH,3.54,2.79,-0.211864406779661
300533.SZ,22.08,17.41,-0.21150362318840576
688198.SH,229.31,180.86,-0.2112860320090706
300973.SZ,153.61,121.25,-0.21066336827029497
300841.SZ,269.01,212.53,-0.20995502025946988
600026.SH,6.43,5.08,-0.20995334370139962
300642.SZ,81.4,64.32,-0.20982800982800998
688180.SH,76.51,60.48,-0.20951509606587382
000596.SZ,235.1,185.89,-0.2093151850276479
000995.SZ,27.16,21.48,-0.2091310751104566
688051.SH,73.24,57.95,-0.2087657018022937
002707.SZ,5.54,4.39,-0.20758122743682317
002473.SZ,6.9,5.47,-0.2072463768115943
002311.SZ,79.21,62.8,-0.20717081176619112
300766.SZ,16.13,12.79,-0.20706757594544323
688314.SH,102.9,81.6,-0.20699708454810506
601828.SH,12.9,10.23,-0.2069767441860465
688367.SH,26.18,20.77,-0.20664629488158903
300939.SZ,62.32,49.46,-0.20635430038510916
300132.SZ,19.44,15.43,-0.20627572016460916
300577.SZ,20.95,16.63,-0.20620525059665873
603369.SH,51.8,41.12,-0.20617760617760617
600741.SH,24.3,19.31,-0.20534979423868316
002261.SZ,10.52,8.36,-0.2053231939163498
300558.SZ,103.7,82.41,-0.2053037608486018
300098.SZ,6.09,4.84,-0.20525451559934316
300326.SZ,12.7,10.1,-0.20472440944881887
002918.SZ,29.8,23.7,-0.2046979865771813
688217.SH,98.75,78.55,-0.20455696202531648
003013.SZ,22.5,17.91,-0.20399999999999996
603069.SH,22.77,18.13,-0.2037768994290734
605300.SH,28.58,22.76,-0.20363890832750164
002989.SZ,31.4,25.01,-0.2035031847133757
300896.SZ,814.2,648.81,-0.2031319086219603
002891.SZ,41.75,33.28,-0.202874251497006
000550.SZ,23.2,18.5,-0.2025862068965517
300685.SZ,103.2,82.3,-0.20251937984496127
300634.SZ,22.58,18.01,-0.20239149689991132
000560.SZ,4.5,3.59,-0.2022222222222223
603429.SH,32.74,26.15,-0.20128283445326822
688488.SH,25.08,20.04,-0.200956937799043
002901.SZ,68.77,54.96,-0.2008143085647811
688056.SH,64.17,51.33,-0.2000935016362787
